,Title,Subtitle,Link
52,TEARFUL PLEA,Ex-Turkey ace breaks down in tears during plea for help for earthquake victims,https://www.thesun.co.uk/sport/21292171/fenerbahce-volkan-demirel-tears-turkey-earthquake/
53,‘IMPORTANT WIN’,Christian Atsu scored 97th-min goal hours before being buried in quake,https://www.thesun.co.uk/sport/21292536/christian-atsu-joy-winner-buried-turkey-earthquake/
54,POWER NAP,Napoli prepare Osimhen transfer war after Man Utd 'tried to get pole position',https://www.thesun.co.uk/sport/21306553/napoli-osimhen-transfer-man-utd-pole-leapfrog/
55,FORTUNE TELLER,Supercomputer predicts Wednesday's football scores including Man Utd v Leeds,https://www.thesun.co.uk/sport/21302519/supercomputer-predicts-man-utd-leeds-real-madrid-sunderland-fulham/
56,FREE BETS,Free bets - Best betting offers in February 2023,https://www.thesun.co.uk/betting/20812234/free-bets/
57,JU ARE SAFE,Juventus chief confirms club will NOT terminate Paul Pogba's contract,https://www.thesun.co.uk/sport/21309618/paul-pogba-contract-termination-deny-juventus/
58,FRENKLY SPEAKING,Frenkie de Jong’s girlfriend trolls Man Utd fans over failed transfer,https://www.thesun.co.uk/sport/21298455/frenkie-de-jong-girlfriend-man-united-transfer/
59,SQUAD PICKS,Wiegman pleased to see WSL aces play more but says England spots not guaranteed,https://www.thesun.co.uk/sport/21309496/sarina-wiegman-lionesses-squad-arnold-clark-cup/
60,KNOLL OVER,Fans say Ivana Knoll is 'getting even hotter' as she shows off bum in bikini,https://www.thesun.co.uk/sport/21303736/ivana-knoll-hot-bikini-world-cup/
61,IC-KY TIMING,Stunning model linked with Icardi 'leaks messages' after split from Wanda Nara,https://www.thesun.co.uk/sport/21302323/model-icardi-leaked-messages-wanda-nara-split/
